Started:  Thu Jun 05 11:00:03 2014
Data Mover Release: 8.53.04
Database: UNDPFST1 (ENG)
Exporting  SET_CNTRL_REC
 Export  SET_CNTRL_REC 0
Exporting  AUTO_NUM_TBL_BU
 Export  AUTO_NUM_TBL_BU 0
Exporting  BUS_UNIT_TBL_PM
 Export  BUS_UNIT_TBL_PM 0
Exporting  POBUILD_APPR
 Export  POBUILD_APPR 0
Exporting  AP_BU_TAX_CF
 Export  AP_BU_TAX_CF 0
Exporting  BUS_UNIT_TBL_AP
 Export  BUS_UNIT_TBL_AP 0
Exporting  BUS_UNIT_TBL_FS
 Export  BUS_UNIT_TBL_FS 0
Exporting  BUS_UNIT_OPT_AP
 Export  BUS_UNIT_OPT_AP 0
Exporting  CNTRCT_CONTROL
 Export  CNTRCT_CONTROL 0
Exporting  GM_INSTITUTION
 Export  GM_INSTITUTION 0
Exporting  GM_IN_ADDRESS
 Export  GM_IN_ADDRESS 0
Exporting  GM_IN_ATTR
 Export  GM_IN_ATTR 0
Exporting  GM_IN_INFO
 Export  GM_IN_INFO 0
Exporting  GM_IN_TYPE
 Export  GM_IN_TYPE 0
Exporting  LOCATION_TBL
 Export  LOCATION_TBL 0
Exporting  RTE_CNTL_HDR
 Export  RTE_CNTL_HDR 1
Exporting  RTE_CNTL_LN
 Export  RTE_CNTL_LN 2
Exporting  RTE_CNTL_PROF
 Export  RTE_CNTL_PROF 1
Exporting  SETID_TBL
 Export  SETID_TBL 0
Exporting  SET_CNTRL_GROUP
 Export  SET_CNTRL_GROUP 0
Exporting  SET_CNTRL_TBL
 Export  SET_CNTRL_TBL 0
Exporting  SHIPTO_TBL
 Export  SHIPTO_TBL 0
Exporting  SHIPTO_VNDR_LOC
 Export  SHIPTO_VNDR_LOC 0
Exporting  SUT_CALC_PARMS
 Export  SUT_CALC_PARMS 0
Exporting  SUT_DFLT_TBL
 Export  SUT_DFLT_TBL 0
Exporting  SUT_EXCPTN_TBL
 Export  SUT_EXCPTN_TBL 0
Ended: Thu Jun 05 11:04:07 2014
Successful completion
