Time Start: 6/6/2014 9:14:08 AM

ORA_DATABASE_NAME                                                               
--------------------------------------------------------------------------------
SYSDATE  
---------
UNDPFST1                                                                        
06-JUN-14
                                                                                
1 row selected.

TABLE_NAME     ROW_COUNT
------------- ----------
SET_CNTRL_REC       6017
1 row selected.

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AM_01        AGENCY_TBL      SHARE
SET_CNTRL_REC 623UU                AM_02        BOOK_DEFN_LANG  SHARE
SET_CNTRL_REC 623UU                AM_02        BOOK_DEFN_TBL   SHARE
SET_CNTRL_REC 623UU                AM_02        BOOK_DEFN_VW    SHARE
SET_CNTRL_REC 623UU                AM_02        SP_BOOK_CLSVW   SHARE
SET_CNTRL_REC 623UU                AM_02        SP_BOOK_NONVW   SHARE
SET_CNTRL_REC 623UU                AM_02        SP_BOOK_OPRVW   SHARE
SET_CNTRL_REC 623UU                AM_03        AM_PROP_SUBC    SHARE
SET_CNTRL_REC 623UU                AM_04        CAP_TYPE_TBL    SHARE
SET_CNTRL_REC 623UU                AM_05        AM_INDEX_DETAIL SHARE
SET_CNTRL_REC 623UU                AM_05        AM_INDEX_TBL    SHARE
SET_CNTRL_REC 623UU                AM_06        UOP_DET_TBL     SHARE
SET_CNTRL_REC 623UU                AM_06        UOP_TBL         SHARE
SET_CNTRL_REC 623UU                AM_09        CONV_BOOK_VW    SHARE
SET_CNTRL_REC 623UU                AM_09        CONV_BU_BOOK_VW SHARE
SET_CNTRL_REC 623UU                AM_09        CONV_BU_VW      SHARE
SET_CNTRL_REC 623UU                AM_09        CONV_DT_TBL     SHARE
SET_CNTRL_REC 623UU                AM_09        CONV_DT_TBL_VW  SHARE
SET_CNTRL_REC 623UU                AM_09        CONV_SETID_VW   SHARE
SET_CNTRL_REC 623UU                AM_09        CONV_TBL        SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_CAP_TBL    SHARE

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AM_09        DEPR_CAP_YR_TBL SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_LIM_TBL    SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_LIM_YR_TBL SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_RT_DET_TBL SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_RT_DET_VW  SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_RT_TBL     SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_SCHED_PD   SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_SCHED_TBL  SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_TERMS_PD   SHARE
SET_CNTRL_REC 623UU                AM_09        DEPR_TERMS_TBL  SHARE
SET_CNTRL_REC 623UU                AM_09        MULTI_SHIFT_TBL SHARE
SET_CNTRL_REC 623UU                AM_09        UD_METHOD       SHARE
SET_CNTRL_REC 623UU                AM_09        UD_METHOD_SEQ   SHARE
SET_CNTRL_REC 623UU                AM_10        ALTACCT_XRF_VW2 SHARE
SET_CNTRL_REC 623UU                AM_10        AMAE_TMPLID_TBL SHARE
SET_CNTRL_REC 623UU                AM_10        AM_CF_MAP_DET   SHARE
SET_CNTRL_REC 623UU                AM_10        AM_CF_MAP_HDR   SHARE
SET_CNTRL_REC 623UU                AM_10        AM_COST_TYPE_VW SHARE
SET_CNTRL_REC 623UU                AM_10        CATEGORY_LANG   SHARE
SET_CNTRL_REC 623UU                AM_10        CATEGORY_LSE_VW SHARE
SET_CNTRL_REC 623UU                AM_10        CATEGORY_RT     SHARE

TABLE_NAME    SETCNTRLVALUE        REC_GROUP_ID RECNAME         SETID
------------- -------------------- ------------ --------------- -----
SET_CNTRL_REC 623UU                AM_10        CATEGORY_TBL    SHARE
SET_CNTRL_REC 623UU                AM_10        CATEGORY_VW3    SHARE
